Year,agencyName,service,Activity,dollars
2019,Finance,Revenue Collection,Parking Fine Collections,2081571
2019,Finance,Revenue Collection,Inspection Collections,435755
2019,Finance,Treasury and Debt Management,Treasury Management,1093090
2019,Finance,Administration  Finance,Administration,1771950
2019,Finance,Administration  Finance,Grants Management Office,66963
2019,Finance,Administration  Finance,ERP Transition,0
2019,Finance,Procurement,Procurement,3079193
2019,Finance,Surplus Property Disposal,Surplus Property Disposal,138695
2019,Finance,Printing Services,Printing Services,2974198
2019,Finance,Accounts Payable,Accounts Payable,1531215
2019,Finance,Payroll,Payroll,3160482
2019,Finance,Accounting,Accounting,4201752
2019,Finance,Risk Management for Employee Injuries,Risk Management for Employee Injuries,7042691
2019,Finance,Operating Budget Management,Operating Budget Management,1382170
2019,Finance,Operating Budget Management,Management Research and Innovation,161520
2019,Finance,Operating Budget Management,Revenue and Long Term Financial Planning,374664
2019,Finance,Fiscal Integrity  Recovery,Property Tax Billing Integrity and Recovery Unit,771067
2019,Finance,Fiscal Integrity  Recovery,Residential Retention Tax Credit,103105
2019,Finance,Finance Project Management,Finance Project Management,218861
2019,Fire,Administration  Fire,Administration,3174835
2019,Fire,Administration  Fire,Finance,772289
2019,Fire,Administration  Fire,Human Resources,688568
2019,Fire,Administration  Fire,Information Technology,1931287
2019,Fire,Administration  Fire,Unallocated Appropriation,0
2019,Fire,Fire Suppression and Emergency Rescue,Fire Safety Office,1028944
2019,Fire,Fire Suppression and Emergency Rescue,Land Suppression,158437399
2019,Fire,Fire Suppression and Emergency Rescue,Marine Suppression,4464386
2019,Fire,Fire Suppression and Emergency Rescue,HAZMAT Operations,886020
2019,Fire,Emergency Management,Administration,1089042
2019,Fire,Emergency Management,Unallocated Appropriation,0
2019,Fire,Emergency Medical Services,Emergency Medical Services,45819730
2019,Fire,Emergency Medical Services,EMS Training,1212072
2019,Fire,Emergency Medical Services,Casino Support‐Medic Services,310890
2019,Fire,Emergency Medical Services,Unallocated Appropriation,0
2019,Fire,Fire and Emergency Community Outreach,EMS ‐ Public Education,24681
2019,Fire,Fire and Emergency Community Outreach,Fire Prevention ‐ Public Education and Outreach,0
2019,Fire,Fire and Emergency Community Outreach,Operation CARE,227314
2019,Fire,Fire Code Enforcement,Fire Code Enforcement,5039539
2019,Fire,Fire Code Enforcement,Unallocated Appropriation,0
2019,Fire,Fire Investigation,Fire Investigation,618443
2019,Fire,Fire Facilities Maintenance and Replacement,Apparatus,15971142
2019,Fire,Fire Facilities Maintenance and Replacement,Facilities Maintenance and Replacement,2569014
2019,Fire,Fire Facilities Maintenance and Replacement,Fire and EMS Supply,2834253
2019,Fire,Fire Facilities Maintenance and Replacement,Respiratory Equipment Repair,58027
2019,Fire,Fire Communications and Dispatch,Fire Communications and Dispatch,8794580
2019,Fire,Fire Communications and Dispatch,Radio Repair Shop,199071
2019,Fire,Fire Communications and Dispatch,Service,8702102
2019,Fire,Fire Training and Education,EMS Training,820468
2019,Fire,Fire Training and Education,Fire Suppression Training,3542946
2019,General Services,Fleet Management,Administration,7102362
2019,General Services,Fleet Management,Equipment Repair,29669426
2019,General Services,Fleet Management,Fleet Support Services,3561174
2019,General Services,Fleet Management,Vehicle Purchases,19789637
2019,General Services,Fleet Management,Information Technology Expenses,910146
2019,General Services,Administration  General Services,Administrative Direction and Control,654478
2019,General Services,Administration  General Services,Fiscal Services,1217846
2019,General Services,Administration  General Services,Human Resources,483906
2019,General Services,Administration  General Services,Information Technology,204345
2019,General Services,Administration  General Services,Municipal Facilities Management,207543
2019,General Services,Administration  General Services,Data Management and Business Process Imp,0
2019,General Services,Public and Private Energy Performance,Business Development and Planning,98886
2019,General Services,Public and Private Energy Performance,Administration,931330
2019,General Services,Public and Private Energy Performance,Exelon Retrofit Loans,3052077
2019,General Services,Public and Private Energy Performance,Transfers,0
2019,General Services,Public and Private Energy Performance,Unallocated Appropriation,0
2019,General Services,Facilities Management,Building Maintenance,30059908
2019,General Services,Facilities Management,War Memorial,471087
2019,General Services,Facilities Management,Historic Properties Program,107759
2019,General Services,Facilities Management,Capital Reserve,700574
2019,General Services,Facilities Management,Surplus School Management,363652
2019,General Services,Facilities Management,Archibus,476964
2019,General Services,Facilities Management,Pimlico Impact Aid‐Langston Hughes Center,0
2019,General Services,Facilities Management,Portfolio Management and Property Servic,0
2019,General Services,Facilities Management,Unallocated Appropriation,0
2019,General Services,Building and Energy Improvements,Design and Construction,1007581
2019,Health,Clinical Services,Clinical Services Administration,1406754
2019,Health,Clinical Services,BDC Laboratory,210767
2019,Health,Clinical Services,Tuberculosis Control,463920
2019,Health,Clinical Services,Sexually Transmitted Disease Control,3026760
2019,Health,Clinical Services,Case Management HIV Treatment,225092
2019,Health,Clinical Services,HIV Prevention,10112
2019,Health,Clinical Services,Primary Care HIV Treatment,201739
2019,Health,Clinical Services,Family Planning,0
2019,Health,Clinical Services,Dental Services,677389
2019,Health,Clinical Services,Epidemiology,255803
2019,Health,Clinical Services,Health for the Homeless,663855
2019,Health,Healthy Homes,Healthy Homes Inspections and Enforcement,1168773
2019,Health,Healthy Homes,Lead Poisoning Prevention,1462484
2019,Health,Substance Abuse and Mental Health,Intellectual Development Disorders,0
2019,Health,Substance Abuse and Mental Health,Substance Abuse,2962076
2019,Health,Substance Abuse and Mental Health,Temporary Cash Assistance Clients,30425
2019,Health,Maternal and Child Health,Family Planning,2046239
2019,Health,Maternal and Child Health,Comprehensive Health Services,1598592
2019,Health,Maternal and Child Health,WIC Supplemental Food,1477966
2019,Health,Maternal and Child Health,Children and Youth,3172882
2019,Health,Maternal and Child Health,Maternal and Infant Nursing,543309
2019,Health,Maternal and Child Health,Infants and Toddlers,6343603
2019,Health,Maternal and Child Health,Healthy Teens and Young Adults,860962
2019,Health,Maternal and Child Health,Cancer Screening Program,0
2019,Health,Maternal and Child Health,Immunization,2389125
2019,Health,Maternal and Child Health,Maryland Children’s Health Program,6553230
2019,Health,Maternal and Child Health,Reach Out and Read,6479
2019,Health,Maternal and Child Health,Medical Home,87303
2019,Health,Maternal and Child Health,Baltimore Healthy Babies,662577
2019,Health,Maternal and Child Health,Early Head Start,39069
2019,Health,School Health Services,School Health,16378566
2019,Health,Health Services for Seniors,Waxter Center Medical Services,0
2019,Health,Health Services for Seniors,Retired Senior Volunteers,45385
2019,Health,Health Services for Seniors,Senior Companions,125199
2019,Health,Health Services for Seniors,Geriatric Evaluation Services,1069764
2019,Health,Health Services for Seniors,Personal Care Services,1213460
2019,Health,Emergency Services  Health,Acute Communicable Diseases,755070
2019,Health,Emergency Services  Health,Field Health Services ‐ Medical Transport,4720666
2019,Health,Emergency Services  Health,Preparedness and Response to Bioterrorism,440825
2019,Health,Emergency Services  Health,Zika,85167
2019,Health,Emergency Services  Health,Hepatitis C Program,241566
2019,Health,Youth Violence Prevention,Administration,495783
2019,Health,Youth Violence Prevention,Safe Streets,490865
2019,Health,Youth Violence Prevention,Trauma‐Informed Care,1488930
2019,Health,Administration  Health,Administrative Services,2103504
2019,Health,Administration  Health,Facilities,891030
2019,Health,Administration  Health,Fiscal Services,126492
2019,Health,Administration  Health,Information Technology,692938
2019,Health,Administration  Health,Legislative Affairs,698798
2019,Health,Administration  Health,Human Resources,659865
2019,Health,Administration  Health,Epidemiology,0
2019,Health,Administration  Health,Unallocated Appropriation,0
2019,Health,Animal Services,Animal Enforcement,1927410
2019,Health,Animal Services,Animal Care and Rescue,1227786
2019,Health,Environmental Health,Administration,927504
2019,Health,Environmental Health,Food Control,878598
2019,Health,Environmental Health,Ecology ‐ Institutional Safety,652639
2019,Health,Environmental Health,Design Review,286469
2019,Health,Chronic Disease Prevention,Health Disparities Initiative,510759
2019,Health,Chronic Disease Prevention,Tobacco Cessation,435959
2019,Health,Chronic Disease Prevention,"Cancer Education, Screening and Prevention",23347
2019,Health,HIV Treatment Services for the Uninsured,Case Management HIV Treatment,92692
2019,Health,HIV Treatment Services for the Uninsured,HIV Prevention and Case Management,5203815
2019,Health,HIV Treatment Services for the Uninsured,Needle Exchange,2158259
2019,Health,HIV Treatment Services for the Uninsured,HIV Administration,454318
2019,Health,HIV Treatment Services for the Uninsured,Communicable Disease and Ryan White,31935096
2019,Health,Senior Centers,Senior Center Administration,1171655
2019,Health,Senior Centers,Facility Operations,36743
2019,Health,Senior Centers,Zeta Center,470
2019,Health,Senior Centers,Health Promotions,0
2019,Health,Senior Centers,Hatton Senior Center,56464
2019,Health,Senior Centers,John Booth ‐ Hooper Senior Center,32848
2019,Health,Senior Centers,Oliver Senior Center,99330
2019,Health,Senior Centers,Sandtown Winchester Senior Center,72436
2019,Health,Senior Centers,Waxter Senior Center,41871
2019,Health,Senior Centers,Zeta Senior Center,122295
2019,Health,Senior Centers,Independent Senior Centers,414108
2019,Health,Senior Centers,Harford Senior Center,0
2019,Health,Administration  CARE,Executive Direction,1228276
2019,Health,Administration  CARE,Operations Planning/Technical,165090
2019,Health,Advocacy and Supportive Care for Seniors,Advocacy and Supportive Care,224620
2019,Health,Advocacy and Supportive Care for Seniors,Senior Care Program,1453080
2019,Health,Advocacy and Supportive Care for Seniors,State Health Insurance Program,92273
2019,Health,Advocacy and Supportive Care for Seniors,Senior Medicare Patrol,13438
2019,Health,Advocacy and Supportive Care for Seniors,Long‐term Care Ombudsman,188020
2019,Health,Advocacy and Supportive Care for Seniors,Maryland Access Point,100390
2019,Health,Assistive and Directive Care for Seniors,Assistive and Directive Care,110949
2019,Health,Assistive and Directive Care for Seniors,Medicaid Waiver Program,735179
2019,Health,Assistive and Directive Care for Seniors,Money Follows the Person Program,12143
2019,Health,Assistive and Directive Care for Seniors,Public Guardianship,388566
2019,Health,Assistive and Directive Care for Seniors,Senior Assisted Living Group Home Subsidy,677264
2019,Health,Community Services for Seniors,Family Caregivers Program,503109
2019,Health,Community Services for Seniors,Health Promotions,75687
2019,Health,Community Services for Seniors,Taxi Card Program,83210
2019,Health,Community Services for Seniors,Congregate Meals,1762841
2019,Health,Community Services for Seniors,Home Delivered Meals,1096992
2019,Health,Community Services for Seniors,Retired Senior Volunteer Program,0
2019,Health,Community Services for Seniors,Senior Companion Program,0
2019,Housing and Community Development,Community Support Projects,CDBG Grants,3871543
2019,Housing and Community Development,Community Support Projects,Unallocated Appropriation,0
2019,Housing and Community Development,Community Support Projects,Community Catalyst Grants,0
2019,Housing and Community Development,Community Support Projects,CDBG Administration,1410549
2019,Housing and Community Development,Before and After Care,Northwood Child Care Center,102680
2019,Housing and Community Development,Before and After Care,Waverly Child Care Center,105889
2019,Housing and Community Development,Administration  HCD,Research and Strategic Planning,256189
2019,Housing and Community Development,Administration  HCD,Budget and Accounting,922925
2019,Housing and Community Development,Administration  HCD,Communications,562581
2019,Housing and Community Development,Administration  HCD,Executive Direction and Control,1924156
2019,Housing and Community Development,Administration  HCD,Facilities Management,693868
2019,Housing and Community Development,Administration  HCD,Information Technology,876554
2019,Housing and Community Development,Administration  HCD,Personnel,462665
2019,Housing and Community Development,Administration  HCD,Administrative Services,185242
2019,Housing and Community Development,Administration  HCD,Planning and Development,191622
2019,Housing and Community Development,Administration  HCD,Performance and Analytics,0
2019,Housing and Community Development,Administration  HCD,Unallocated Appropriation,0
2019,Housing and Community Development,Energy Assistance,Program Support,144927
2019,Housing and Community Development,Energy Assistance,Training and Technical Assistance,851813
2019,Housing and Community Development,Energy Assistance,Weatherization Program Delivery,598043
2019,Housing and Community Development,Energy Assistance,Audit,23806
2019,Housing and Community Development,Energy Assistance,Section  Outreach,125236
2019,Housing and Community Development,Energy Assistance,Weatherization Subcontractors,138051
2019,Housing and Community Development,Energy Assistance,Housing Coordination Admin,11003
2019,Housing and Community Development,Dawson Center,Dawson Center,343348
2019,Housing and Community Development,Promote Homeownership,Homeownership,453186
2019,Housing and Community Development,Housing Code Enforcement,Administration,709662
2019,Housing and Community Development,Housing Code Enforcement,Code Enforcement Legal,2342509
2019,Housing and Community Development,Housing Code Enforcement,Whole Block Demolition,126546
2019,Housing and Community Development,Housing Code Enforcement,Notice Production ‐ Constituent Services,359951
2019,Housing and Community Development,Housing Code Enforcement,Property Maintenance Code Enforcement,8979069
2019,Housing and Community Development,Housing Code Enforcement,Special Investigations,1215833
2019,Housing and Community Development,Housing Code Enforcement,Systems Programming,318094
2019,Housing and Community Development,Housing Code Enforcement,Demolition Contracts,164409
2019,Housing and Community Development,Register and License Properties and Contractors,License and Register Contractors,127343
2019,Housing and Community Development,Register and License Properties and Contractors,Property Registration and MFD Licensing,425051
2019,Housing and Community Development,Affordable Housing,Housing Development Finance and Project Management,474626
2019,Housing and Community Development,Affordable Housing,Affordable Housing Trust Fund,0
2019,Housing and Community Development,Affordable Housing,Unallocated Appropriation,0
2019,Housing and Community Development,Blight Elimination,Land Transactions,3633194
2019,Housing and Community Development,Blight Elimination,Whole Block Demolition,84196
2019,Housing and Community Development,Blight Elimination,Park Heights,380558
2019,Housing and Community Development,Blight Elimination,EBDI Support,423929
2019,Housing and Community Development,Blight Elimination,Project Development,0
2019,Housing and Community Development,Housing Rehabilitation Loans,Housing Rehabilitation Loans,978285
2019,Housing and Community Development,Housing Rehabilitation Loans,Lead Abatement,1642115
2019,Housing and Community Development,Housing Rehabilitation Loans,Unallocated Appropriation,0
2019,Housing and Community Development,Building and Zoning Inspections and Permits,Construction Code Enforcement,3403232
2019,Housing and Community Development,Building and Zoning Inspections and Permits,Demolition Inspection,337645
2019,Housing and Community Development,Building and Zoning Inspections and Permits,Permit Processing,714825
2019,Housing and Community Development,Building and Zoning Inspections and Permits,Permit Review,1200705
2019,Housing and Community Development,Building and Zoning Inspections and Permits,Plans Review,539638
2019,Housing and Community Development,Community Outreach Services,Ombudsmans Office,1783992
2019,Housing and Community Development,Summer Food Service Program,Summer Food Service Program,1898192
2019,Housing and Community Development,Retention Expansion and Attraction of Businesses,"Retention, Expansion, and Attraction of Businesses",1146484
2019,Housing and Community Development,Real Estate Development,Real Estate Development,1989891
2019,Housing and Community Development,Inner Harbor Coordination,Waterfront Partnership,425000
2019,Housing and Community Development,Technology Development  Emerging Technology Center,Technology Development ‐ Emerging Technology Center,851910
2019,Housing and Community Development,Live Baltimore,Live Baltimore,737484
2019,Human Resources,Administration  Human Resources,Administration ‐ Human Resources,2948701
2019,Human Resources,Administration  Human Resources,Work Baltimore,122314
2019,Human Resources,Administration  Human Resources,Policy,0
2019,Human Resources,Benefits Administration,Benefits Administration,4064204
2019,Human Resources,Benefits Administration,HRIS Operations,0
2019,Human Resources,Benefits Administration,Wellness,174747
2019,Human Resources,Benefits Administration,Employee Assistance Program,0
2019,Human Resources,Civil Service Management,Civil Service Management,3160321
2019,Human Resources,Civil Service Management,Classification and Compensation,0
2019,Human Resources,Civil Service Management,Public Safety Testing,0
2019,Human Resources,Civil Service Management,Recruitment,0
2019,Human Resources,Civil Service Management,Shared Services,0
2019,Human Resources,COB University,COB University,130847
2019,Law,Administration  Law,Administration,1574995
2019,Law,Controversies,Central Bureau of Investigation,9009334
2019,Law,Controversies,Workers’ Compensation,627092
2019,Law,Controversies,Affirmative Litigation,0
2019,Law,Controversies,Collections,0
2019,Law,Controversies,Defensive Litigation,0
2019,Law,Controversies,Labor and Employment,0
2019,Law,Controversies,Land Use,0
2019,Law,Transactions,Contracts,2161121
2019,Law,Transactions,Opinions,0
2019,Law,Transactions,Real Estate,0
2019,Law,Minority and Womens Business Opportunity Office,Minority and Women’s Business Opportunity Office,534772
2019,Law,Police Legal Affairs,Police Legal Affairs,0
2019,Law,Workers Compensation Practice,Workers’ Compensation Practice,0
2019,Legislative Reference,Legislative Reference Services,Legislative Reference Services,655314
2019,Legislative Reference,Archives and Records Management,Archives and Records Management Office,451787
2019,Liquor License Board,Liquor Licensing,Liquor Control,1109070
2019,Liquor License Board,Liquor License Compliance,Liquor License Compliance,922737
2019,Mayoralty,Executive Direction and Control  Mayoralty,Mayor’s Office,569255
2019,Mayoralty,Executive Direction and Control  Mayoralty,Casino Support‐Project Coordination,61931
2019,Mayoralty,Executive Direction and Control  Mayoralty,Chief of Staff,855437
2019,Mayoralty,Executive Direction and Control  Mayoralty,Chief of Operations,498951
2019,Mayoralty,Executive Direction and Control  Mayoralty,Government Relations,236316
2019,Mayoralty,Executive Direction and Control  Mayoralty,Neighborhoods and Economic Development,649591
2019,Mayoralty,Executive Direction and Control  Mayoralty,Innovation,613862
2019,Mayoralty,Executive Direction and Control  Mayoralty,Neighborhoods,772008
2019,Mayoralty,Executive Direction and Control  Mayoralty,Sustainable Solutions,923137
2019,Mayoralty,Executive Direction and Control  Mayoralty,African American Male Engagement,306395
2019,Mayoralty,Executive Direction and Control  Mayoralty,Special Events,91757
2019,Mayoralty,Executive Direction and Control  Mayoralty,Lean Government,0
2019,Mayoralty,Executive Direction and Control  Mayoralty,Administrative Services,1888172
2019,Mayoralty,Executive Direction and Control  Mayoralty,Constituent Services,463400
2019,Mayoralty,Executive Direction and Control  Mayoralty,Communications and External Affairs,1725509
2019,Mayoralty,Executive Direction and Control  Mayoralty,"Minority, Women‐Owned, and Small Business Development",1391599
2019,Mayoralty,Executive Direction and Control  Mayoralty,Immigrant and Multicultural Affairs,599219
2019,Mayoralty,Executive Direction and Control  Mayoralty,Deputy Mayor for Economic & Neighborhood Development,276181
2019,Mayoralty,Executive Direction and Control  Mayoralty,Deputy Mayor for Operations,218741
2019,Mayoralty,Executive Direction and Control  Mayoralty,Deputy Mayor for Government and Labor Relations,351767
2019,Mayoralty,Executive Direction and Control  Mayoralty,Unallocated Appropriation,0
2019,Art and Culture,Art and Culture Grants,Baltimore Symphony Orchestra Association,267591
2019,Art and Culture,Art and Culture Grants,Walters Art Gallery Other Personnel Costs,1677637
2019,Art and Culture,Art and Culture Grants,Walters Art Gallery General Expenses,228523
2019,Art and Culture,Art and Culture Grants,Baltimore Museum of Art Other Personnel Costs,1674879
2019,Art and Culture,Art and Culture Grants,Baltimore Museum of Art General Expenses,461165
2019,Art and Culture,Art and Culture Grants,Maryland Zoo in Baltimore,1564787
2019,Art and Culture,Events Art Culture and Film,Events and Festivals,2563612
2019,Art and Culture,Events Art Culture and Film,Creative Baltimore,266604
2019,Art and Culture,Events Art Culture and Film,Casino Support‐Grant Programs and Coordination,0
2019,Art and Culture,Events Art Culture and Film,Pimlico Impact Aid ‐ Public Art,0
2019,Art and Culture,Bromo Seltzer Arts Tower,Bromo Seltzer Arts Tower,96776
2019,Baltimore City Public Schools,Baltimore City Public Schools,Required Maintenance of Effort (MOE),227706071
2019,Baltimore City Public Schools,Baltimore City Public Schools,Funding in Excess of MOE,0
2019,Baltimore City Public Schools,Baltimore City Public Schools,Retirees Health Contribution,29805357
2019,Baltimore City Public Schools,Baltimore City Public Schools,Teacher Pension,17900753
2019,Baltimore City Public Schools,Baltimore City Public Schools,Special School Funding,3000000
2019,Baltimore City Public Schools,Baltimore City Public Schools,MTA Bus Transportation,835115
2019,Cable and Communications,Media Production,Media Production,686725
2019,Civic Promotion,Civic Promotion Grants,Baltimore Heritage Area,149238
2019,Civic Promotion,Civic Promotion Grants,Lexington Market,177877
2019,Civic Promotion,Civic Promotion Grants,Baltimore Public Markets,142300
2019,Civic Promotion,Convention Sales and Tourism Marketing,Pride of Baltimore,14641
2019,Civic Promotion,Convention Sales and Tourism Marketing,Sail Baltimore,11262
2019,Civic Promotion,Convention Sales and Tourism Marketing,Visit Baltimore,14602572
2019,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Municipal Telephone Exchange,618982
2019,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Fire,574286
2019,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Fire and Police Communications,5162676
2019,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Police,2877144
2019,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Public Buildings,5721703
2019,Conditional Purchase Agreements,Conditional Purchase Agreement Payments,Solid Waste,1751422
2019,Contingent Fund,Contingent Fund,Contingent Fund,0
2019,Convention Center Hotel,Convention Center Hotel,Operations,0
2019,Convention Center Hotel,Convention Center Hotel,TIF,4089314
2019,Convention Center Hotel,Convention Center Hotel,Hotel Occupancy Tax,3028231
2019,Convention Complex,Royal Farms Arena Operations,Royal Farms Arena Operations,25078
2019,Convention Complex,Convention Center,Executive ‐ Administration,1838815
2019,Convention Complex,Convention Center,Sales and Marketing,1346001
2019,Convention Complex,Convention Center,Client Services,4530022
2019,Convention Complex,Convention Center,Building Services,7788317
2019,Convention Complex,Convention Center,Public Safety,2724681
2019,Debt Service,General Debt Service,Aquarium,580386
2019,Debt Service,General Debt Service,Neighborhood Senior Centers,6038
2019,Debt Service,General Debt Service,City Museums,453006
2019,Debt Service,General Debt Service,Health,235910
2019,Debt Service,General Debt Service,Baltimore City Public Schools – Built to Learn Act,0
2019,Debt Service,General Debt Service,Baltimore City Public Schools ‐ Table Games,2769678
2019,Debt Service,General Debt Service,Baltimore City Public Schools ‐ Casino Lease,0
2019,Debt Service,General Debt Service,Baltimore City Public Schools ‐ Beverage Tax,13616471
2019,Debt Service,General Debt Service,Baltimore City Public Schools,20098110
2019,Debt Service,General Debt Service,Fire,183251
2019,Debt Service,General Debt Service,Highways  (MVR),19128035
2019,Debt Service,General Debt Service,Housing and Community Development,16953619
2019,Debt Service,General Debt Service,Housing and Community Development,9015116
2019,Debt Service,General Debt Service,Off‐street Parking,415626
2019,Debt Service,General Debt Service,Police,145387
2019,Debt Service,General Debt Service,Public Buildings,5846647
2019,Debt Service,General Debt Service,Recreation and Parks,3379943
2019,Debt Service,General Debt Service,Maryland Zoo in Baltimore,688459
2019,Debt Service,General Debt Service,Unallocated,1046096
2019,Debt Service,General Debt Service,Community and Economic Development,1254052
2019,Debt Service,General Debt Service,Recreation and Parks ‐ Public Facilities,256984
2019,Educational Grants,Educational Grants,BCCC ‐ Educational Support,1000000
2019,Educational Grants,Educational Grants,Family League,6487079
2019,Educational Grants,Educational Grants,Directed Funding,346000
2019,Educational Grants,Educational Grants,Expanded Youth Programming,2879128
2019,Educational Grants,Educational Grants,Youth Fund Grants,1337770
2019,Educational Grants,Educational Grants,Youth Fund Administration and Evaluation,10600000
2019,Educational Grants,Educational Grants,BCCC ‐ Mayor’s Scholars Program,253600
2019,Employees Retirement Contribution,Employees Retirement Contribution,Grant Pension Adjustments,1261594
2019,Environmental Control Board,Adjudication of Environmental Citations,Adjudication,1075093
2019,Environmental Control Board,Adjudication of Environmental Citations,BMORE Beautiful,269828
2019,Environmental Control Board,Adjudication of Environmental Citations,Unallocated Appropriation,0
2019,Health and Welfare Grants,Health and Welfare Grants,"Legal Aid Bureau, Inc.",103391
2019,Health and Welfare Grants,Health and Welfare Grants,Maryland School for the Blind,110109
2019,Health and Welfare Grants,Health and Welfare Grants,Pre and Postnatal Home Visiting,1035334
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Membership Dues,249552
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Voter Registration Campaign,216113
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Ground Rents on City Property,16968
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Special Legal Fees,1777211
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Special Studies,2009111
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Stadium Authority Contributions,1000000
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,General Fund Reserve,3478200
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Special Projects,1166443
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Printing Board of Estimates Minutes,13240
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Baltimore Radio Reading Service,28731
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Deferred Comp Administrative Expense,2793
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,City Hall Exhibits,11190
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Panel of Claims Examiners,167064
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Independent Auditors,701656
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Emergency Relocation,326595
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,MBE Outreach,0
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Marina Store Lease,90609
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,State Department of Assessments and Taxation,1891928
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Special Events,2372438
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,AFSCME ‐ CUB Bonuses,800000
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Grants Deficit,2091012
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Compensated Work,3887313
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Severance,412288
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Buildings,893402
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,Pay for Performance,0
2019,Miscellaneous General Expenses,Miscellaneous General Expenses,FICA,0
2019,Office of Children and Family Success,NA,Administration,0
2019,Office of Children and Family Success,NA,African American Male Engagement,0
2019,Office of Children and Family Success,NA,Youth Services,0
2019,Office of Children and Family Success,NA,Casino Support‐Educational Partnerships,0
2019,Office of Children and Family Success,NA,Pimlico Impact Aid‐Youth Development,0
2019,Office of Children and Family Success,Head Start,St Veronica Center,132984
2019,Office of Children and Family Success,Head Start,Dayspring Head Start Sites,5286522
2019,Office of Children and Family Success,Head Start,Union Baptist‐Harvey Johnson Head Start Center,1473073
2019,Office of Children and Family Success,Head Start,Training and Technical Assistance,488105
2019,Office of Children and Family Success,Head Start,Grantee Operations,858021
2019,Office of Children and Family Success,Head Start,Casino Support–Summer Head Start Catholic Charities,111707
2019,Office of Children and Family Success,Community Action Centers,Southeast Center,992647
2019,Office of Children and Family Success,Community Action Centers,Eastern Center,454527
2019,Office of Children and Family Success,Community Action Centers,Northwest Center,531555
2019,Office of Children and Family Success,Community Action Centers,Southern Center,78952
2019,Office of Children and Family Success,Community Action Centers,Northern Center,1112692
2019,Office of Children and Family Success,Community Action Centers,Western Center,189246
2019,Office of Children and Family Success,Community Action Centers,Administration,1539252
2019,Office of Children and Family Success,Community Action Centers,Office of Home Energy,1906252
2019,Office of Children and Family Success,Community Action Centers,Utility Support,0
2019,Office of Criminal Justice,Criminal Justice Coordination,Sexual Assault Response Team,14737
2019,Office of Criminal Justice,Criminal Justice Coordination,Supervised Visitation,234862
2019,Office of Criminal Justice,Criminal Justice Coordination,Human Trafficking,0
2019,Office of Criminal Justice,Criminal Justice Coordination,Violence Reduction Grants,147381
2019,Office of Criminal Justice,Criminal Justice Coordination,High‐Intensity Drug Trafficking Areas,0
2019,Office of Criminal Justice,Criminal Justice Coordination,Criminal Justice Administration,155743
2019,Office of Criminal Justice,Criminal Justice Coordination,Unallocated Appropriation,0
2019,Office of Criminal Justice,Crime Prevention,Operation Ceasefire,282633
2019,Office of Criminal Justice,Crime Prevention,Justice Assistance Grant,0
2019,Office of Criminal Justice,Crime Prevention,Safe Streets,1990173
2019,Office of Criminal Justice,Crime Prevention,ROCA,497479
2019,Office of Criminal Justice,Crime Prevention,Juvenile Diversion Services,73998
2019,Office of Criminal Justice,Crime Prevention,Supervised Visitation,0
2019,Office of Criminal Justice,Crime Prevention,Neighborhood Safety Administration,110528
2019,Office of Criminal Justice,Crime Prevention,Casino Support‐Community Outreach,0
2019,Office of Criminal Justice,Crime Prevention,Pimlico Impact Aid‐Public Safety,0
2019,Office of Criminal Justice,Crime Prevention,Unallocated Appropriation,0
2019,Office of Criminal Justice,CitiWatch,Monitoring and Maintenance,2483582
2019,Office of Criminal Justice,CitiWatch,Casino Support‐Crime Cameras and Lighting,170185
2019,Office of Criminal Justice,CitiWatch,Bloomberg ‐ CCTV,1642864
